common_word
toko
warung
jual
bu
sembako
dan
pedagang
ayam
tembakau
pak
es
bengkel
sayur
kelontong
nasi
ikan
penjual
motor
jaya
bakso
kopi
warkop
kedai
mbak
mie
perajangan
tukang
kios
pracangan
industri
penjahit
peracangan
tahu
buah
potong
cell
gorengan
laundry
makan
rujak
keliling
barokah
teh
pentol
baju
goreng
bensin
rambut
salon
pijat
las
pecel
kue
kos
jualan
ban
makanan
jasa
pakaian
mobil
rumah
cak
sate
tempe
mebel
daging
kost
bangunan
al
sayuran
jahit
snack
tambal
pisang
berkah
jamu
beli
agen
minuman
putri
putra
mas
ud
anyaman
usaha
tk
air
kelapa
soto
kambing
sepeda
online
sapi
sumber
ibu
batu
sdn
rajang
selep
dapur
plastik
jajanan
mak
bumbu
kayu
jajan
krupuk
aneka
seblak
servis
shop
catering
menjual
segar
sri
kerupuk
degan
nur
klontong
padi
madura
lontong
telur
mbah
pt
service
dagang
siti
sosis
pakan
tas
mini
elektronik
lpg
kantin
bakar
roti
isi
keranjang
perajang
tpq
gudang
tikar
cuci
ulang
cilok
mi
gas
rajangan
buk
basah
sound
pangkas
praktek
angkringan
geprek
bidan
alat
bata
sewa
food
jagung
bekas
sepatu
eceran
pojok
pom
produksi
mandiri
abadi
depot
nurul
merah
loundry
pulsa
pertanian
mbk
sak
rejeki
indah
store
jumbo
burung
becak
bambu
penggilingan
gula
sandal
bebek
barang
makmur
perancangan
collection
ojek
kosan
apotek
foto
bunga
frozen
cafe
bawang
mama
lapak
mart
pengrajin
dokter
gerabah
anak
ringan
emas
reyeng
listrik
mainan
campur
besi
cv
kripik
meracang
ternak
angkutan
cahaya
agus
beras
tani
kantor
sari
koperasi
meubel
martabak
minum
daun
bubur
jus
sinar
kerajinan
chicken
pasar
perdagangan
paud
permak
depo
sd
dua
pembuatan
agung
konveksi
rantang
fotocopy
laut
lele
dewi
lalapan
persewaan
rosok
sempol
mracang
omah
membuat
bunda
bintang
hp
audio
griya
travel
copy
ulum
pijet
surya
pengepul
gigi
bakery
jeruk
sekolah
galon
kacang
elpiji
sopir
hj
tailor
tape
desa
asin
grosir
prasmanan
wanita
indomaret
ayu
rasa
pangkalan
besek
dawet
bank
pabrik
tebu
parfum
pondok
rias
mitra
poci
camilan
bang
ra
pengrajang
bakul
singkong
budi
beauty
umi
rental
pupuk
lestari
system
barbershop
studio
baru
and
malang
klinik
bahan
kb
solo
ice
gojek
bapak
terang
genteng
keripik
slamet
ijo
bibit
garam
los
bri
ida
batako
percetakan
penyetan
sederhana
tradisional
karya
huda
pangsit
